Member,Values,Condition
1231.015,82,Above
1231.015,87,Above
1231.015,92,Above
1231.015,99,Above
1231.015,104,Above
1231.015,142,Below
1231.016,76,Below
1231.016,81,Below
1231.016,86,Below
1231.016,91,Below
1231.016,96,Below
1231.016,101,Below
1231.016,106,Below
1231.016,127,Above
1231.016,132,Above
1231.016,137,Above
1231.016,142,Above
1231.016,147,Above
1231.016,152,Above
1231.016,157,Above
1231.017,40,Below
1231.017,58,Above
1231.017,63,Above
1231.017,68,Above
1231.017,111,Above
1231.017,116,Above
1231.017,121,Above
1231.017,133,Below
1231.017,138,Below
1231.017,143,Below
1231.018,40,Below
1231.018,45,Below
1231.018,68,Above
1231.018,90,Below
1231.018,95,Below
1231.018,100,Below
1231.018,105,Below
1231.018,115,Above
1231.018,120,Above
1231.018,142,Above
1231.018,147,Above
1231.018,152,Above
1231.019,40,Below
1231.019,45,Below
1231.019,50,Below
1231.019,55,Below
1231.019,74,Above
1231.019,79,Above
1231.019,116,Below
1231.019,121,Below
1231.019,126,Below
1231.020,53,Above
1231.020,58,Above
1231.020,63,Above
1231.020,68,Above
1231.020,73,Above
1231.020,100,Below
1231.020,109,Below
1231.020,122,Below
1231.020,127,Below
1231.020,132,Below
1251.001,40,Below
1251.001,45,Below
1251.001,63,Above
1251.001,94,Below
1251.001,99,Below
1251.001,104,Below
1251.001,109,Below
1251.001,148,Below
1251.001,153,Below
1251.001,158,Below
1251.002,40,Above
1251.002,45,Above
1251.002,50,Above
1251.002,119,Below
1251.002,124,Below
1251.002,129,Below
1251.002,134,Below
1251.002,139,Below
1251.004,54,Above
1251.004,59,Above
1251.004,64,Above
1251.004,69,Above
1251.004,96,Below
1251.004,101,Below
1251.004,106,Below
1251.004,111,Below
1251.004,116,Below
1251.004,121,Below
1251.004,138,Above
1251.004,143,Above
1251.005,65,Below
1251.005,70,Below
1251.005,75,Below
1251.005,80,Below
1251.005,125,Above
1251.005,130,Above
1251.005,135,Above
1251.005,140,Above
1251.006,40,Below
1251.006,45,Below
1251.006,77,Above
1251.006,82,Above
1251.006,87,Above
1251.006,92,Above
1251.006,97,Above
1251.006,102,Above
1251.006,128,Below
1251.006,137,Below
1251.006,146,Below
1251.006,151,Below
1251.006,156,Below
1251.007,40,Above
1251.007,45,Above
1251.007,50,Above
1251.007,65,Above
1251.007,70,Above
1251.007,88,Below
1251.007,93,Below
1251.007,121,Below
1251.007,126,Below
1251.007,131,Below
1251.007,136,Below
1251.008,84,Above
1251.008,143,Below
1251.008,148,Below
1251.009,40,Below
1251.009,45,Below
1251.009,118,Above
1251.009,141,Below
1251.009,146,Below
1251.009,151,Below
1251.010,40,Below
1251.010,54,Above
1251.010,59,Above
1251.010,64,Above
1251.010,69,Above
1251.010,101,Below
1251.010,106,Below
1251.010,111,Below
1251.010,116,Below
1251.010,121,Below
1251.010,126,Below
1251.010,141,Above
1251.010,146,Above
1251.010,151,Above
1251.010,156,Above
1251.011,55,Below
1251.011,60,Below
1251.011,65,Below
1251.011,70,Below
1251.011,75,Below
1251.011,125,Above
1251.012,63,Above
1251.012,68,Above
1251.012,73,Above
1251.012,78,Above
1251.012,83,Above
1251.012,88,Above
1251.012,93,Above
1251.012,98,Above
1251.012,103,Above
1251.012,108,Above
1251.012,123,Below
1251.012,128,Below
1251.012,133,Below
1251.013,54,Above
1251.013,59,Above
1251.013,64,Above
1251.013,69,Above
1251.013,85,Below
1251.013,92,Below
1251.013,97,Below
1251.013,102,Below
1251.013,107,Below
1251.013,112,Below
1251.013,127,Above
1251.013,132,Above
1251.013,137,Above
1251.014,51,Above
1251.014,56,Above
1251.014,61,Above
1251.014,66,Above
1251.014,79,Below
1251.014,91,Below
1251.014,96,Below
1251.014,152,Above
1251.015,40,Below
1251.015,45,Below
1251.015,50,Below
1251.015,55,Below
1251.015,60,Below
1251.015,65,Below
1251.015,70,Below
1251.015,75,Below
1251.015,90,Above
1251.015,95,Above
1251.015,100,Above
1251.015,105,Above
1251.015,127,Above
1251.015,132,Above
1251.015,137,Above
1251.016,46,Below
1251.016,51,Below
1251.016,56,Below
1251.016,61,Below
1251.016,66,Below
1251.016,71,Below
1251.016,103,Above
1251.016,108,Above
1251.016,113,Above
1251.016,118,Above
1251.017,40,Below
1251.017,53,Above
1251.017,58,Above
1251.017,63,Above
1251.017,68,Above
1251.017,73,Above
1251.017,128,Below
1251.017,133,Below
1251.017,138,Below
1251.017,143,Below
1251.018,53,Below
1251.018,58,Below
1251.018,63,Below
1251.018,68,Below
1251.018,73,Below
1251.018,94,Above
1251.018,99,Above
1251.018,104,Above
1251.018,128,Below
1251.018,133,Below
1251.018,150,Above
1251.018,155,Above
1251.019,56,Below
1251.019,61,Below
1251.019,88,Above
1251.019,93,Above
1251.019,98,Above
1251.019,115,Below
1251.019,120,Below
1251.019,125,Below
1251.019,130,Below
1251.019,157,Above
1251.020,40,Below
1251.020,65,Above
1251.020,70,Above
1251.020,75,Above
1251.020,80,Above
1251.020,153,Above
1251.020,158,Above
1281.001,81,Above
1281.001,86,Above
1281.001,101,Below
1281.001,106,Below
1281.001,111,Below
1281.001,116,Below
1281.001,121,Below
1281.001,126,Below
1281.001,147,Above
1281.001,152,Above
1281.001,157,Above
1281.002,40,Above
1281.002,45,Above
1281.002,50,Above
1281.002,55,Above
1281.002,60,Above
1281.002,65,Above
1281.002,70,Above
1281.002,85,Below
1281.002,90,Below
1281.002,149,Below
1281.002,154,Below
1281.002,159,Below
1281.003,40,Above
1281.003,45,Above
1281.003,50,Above
1281.003,55,Above
1281.003,60,Above
1281.003,65,Above
1281.003,70,Above
1281.003,75,Above
1281.003,90,Below
1281.003,95,Below
1281.003,100,Below
1281.003,105,Below
1281.003,110,Below
1281.003,115,Below
1281.003,130,Above
1281.003,135,Above
1281.003,140,Above
1281.004,50,Above
1281.004,55,Above
1281.004,60,Above
1281.004,65,Above
1281.004,70,Above
1281.004,90,Below
