Member,Values,Condition
1001.001,66,Above
1001.001,76,Above
1001.001,137,Below
1021.002,84,Below
1021.002,111,Above
1021.002,121,Above
1031.002,25,Below
1031.002,111,Above
1031.002,121,Above
1031.002,141,Below
1041.003,56,Above
1041.003,131,Below
1041.003,141,Below
1051.003,99,Above
1061.004,81,Below
1061.004,109,Above
1061.004,120,Above
1061.004,142,Below
1071.004,34,Above
1071.004,108,Above
1071.004,118,Above
1081.005,46,Above
1081.005,100,Above
1081.005,110,Above
1091.005,20,Below
1091.005,47,Above
1091.005,112,Above
1091.005,122,Above
1091.005,139,Below
1101.006,29,Above
1101.006,96,Below
1101.006,115,Above
1101.006,125,Above
1111.006,52,Above
1111.006,107,Above
1111.006,139,Below
1121.007,44,Above
1121.007,114,Above
1121.007,139,Below
1131.007,31,Above
1131.007,41,Above
1131.007,110,Above
1131.007,120,Above
1131.007,141,Below
1141.008,102,Above
1141.008,138,Below
1151.008,97,Above
1151.008,107,Above
1151.008,141,Below
1161.009,100,Above
1161.009,139,Below
1171.009,102,Above
1171.009,112,Above
1171.009,134,Below
1171.009,144,Below
1181.010,109,Above
1181.010,119,Above
1191.010,50,Above
1191.010,83,Above
1231.001,48,Above
1231.001,58,Above
1231.001,101,Above
1231.001,111,Above
1231.001,141,Below
1231.002,46,Above
1231.002,56,Above
1231.003,57,Above
1231.003,77,Below
1231.003,115,Above
1231.003,125,Above
1231.004,49,Above
1231.004,59,Above
1231.004,78,Below
1231.004,104,Above
1231.005,87,Above
1231.005,108,Above
1231.005,118,Above
1231.005,139,Below
1231.006,52,Above
1231.006,105,Above
1231.006,115,Above
1231.006,125,Above
1231.006,142,Below
1231.007,56,Above
1231.007,77,Above
1231.007,115,Above
1231.007,139,Below
1231.008,49,Above
1231.008,59,Above
1231.008,76,Below
1231.008,100,Above
1231.009,84,Above
1231.009,107,Above
1231.009,117,Above
1231.009,136,Below
1231.010,31,Above
1231.010,101,Above
1231.010,111,Above
1231.010,121,Above
1231.010,138,Below
1231.011,23,Below
1231.011,33,Below
1231.011,60,Above
1231.011,70,Above
1231.011,137,Below
1231.012,100,Above
1231.012,113,Above
1231.012,142,Below
1231.013,42,Above
1231.013,67,Below
1231.013,115,Above
1231.013,125,Above
1231.013,142,Below
1231.014,112,Above
1231.014,122,Above
1231.014,140,Below
1231.015,104,Above
1231.015,114,Above
1231.015,135,Below
1231.016,46,Above
1231.016,85,Below
1231.016,95,Below
1231.016,113,Above
1231.016,123,Above
1231.016,144,Below
1231.017,29,Below
1231.017,49,Above
1231.017,59,Above
1231.017,101,Above
1231.017,111,Above
1231.017,121,Above
1231.017,135,Below
1231.018,28,Below
1231.018,65,Above
1231.018,92,Below
1231.018,109,Above
1231.018,119,Above
1231.019,74,Above
1231.019,102,Above
1231.019,112,Above
1231.020,46,Above
1231.020,56,Above
1231.020,111,Above
1231.020,121,Above
1251.001,54,Above
1251.001,82,Below
1251.001,115,Above
1251.001,138,Below
1251.002,39,Above
1251.002,49,Above
1251.002,109,Above
1251.002,132,Below
1251.002,142,Below
1251.003,24,Below
1251.003,110,Above
1251.003,120,Above
1251.003,138,Below
1251.004,47,Above
1251.004,57,Above
1251.004,118,Above
1251.005,39,Above
1251.005,74,Below
1251.005,114,Above
1251.005,124,Above
1251.005,142,Below
1251.006,87,Above
1251.006,142,Below
1251.007,35,Above
1251.007,45,Above
1251.007,88,Below
1251.007,108,Above
1251.007,131,Below
1251.007,141,Below
1251.008,49,Above
1251.008,110,Above
1251.008,120,Above
1251.008,141,Below
1251.009,58,Above
1251.009,99,Above
1251.009,109,Above
1251.009,119,Above
1251.009,137,Below
1251.010,22,Below
1251.010,46,Above
1251.010,56,Above
1251.010,80,Below
1251.011,111,Above
1251.011,121,Above
1251.011,140,Below
1251.012,20,Below
1251.012,30,Below
1251.012,51,Above
1251.012,69,Above
1251.012,94,Above
1251.012,104,Above
1251.012,129,Below
1251.012,139,Below
1251.013,57,Above
1251.013,84,Below
1251.013,117,Above
1251.013,127,Above
1251.013,142,Below
1251.014,50,Above
1251.014,60,Above
1251.014,115,Above
1251.014,141,Below
1251.015,126,Above
1251.015,144,Below
1251.016,29,Above
1251.016,51,Below
1251.016,105,Above
1251.016,115,Above
1251.016,138,Below
1251.017,46,Above
1251.017,56,Above
1251.017,106,Above
1251.017,116,Above
1251.017,132,Below
1251.017,142,Below
1251.018,95,Above
1251.018,105,Above
1251.018,142,Below
1251.019,137,Below
1251.020,56,Above
1251.020,66,Above
1251.020,110,Above
1251.020,136,Below
1281.001,38,Above
1281.001,51,Above
1281.001,143,Below
1281.002,30,Above
1281.002,57,Above
1281.002,67,Above
1281.002,83,Below
1281.002,105,Above
1281.002,115,Above
1281.002,138,Below
1281.003,39,Above
1281.003,53,Above
1281.003,63,Above
1281.003,89,Below
1281.003,122,Above
1281.003,143,Below
1281.004,23,Below
1281.004,41,Above
1281.004,51,Above
1281.004,106,Above
1281.004,116,Above
1281.004,132,Below
1281.004,142,Below
1281.005,29,Above
1281.005,39,Above
1281.005,109,Above
1281.005,119,Above
1281.005,138,Below
1281.006,78,Below
1281.006,112,Above
1281.006,135,Below
1281.007,20,Above
1281.007,72,Below
1281.007,96,Above
1281.007,144,Below
1281.008,27,Above
1281.008,37,Above
1281.008,110,Above
1281.008,120,Above
1281.009,29,Above
1281.009,39,Above
1281.009,139,Below
1281.010,25,Above
1281.010,35,Above
1281.010,62,Above
1281.010,114,Above
1281.010,124,Above
1281.010,142,Below
1281.011,32,Above
1281.011,43,Above
1281.011,70,Below
1281.011,90,Above
1281.011,100,Above
1281.011,139,Below
1281.012,20,Above
1281.012,60,Above
1281.013,36,Above
1281.013,97,Above
1281.013,107,Above
1281.013,117,Above
1281.014,30,Above
1281.014,110,Above
1281.014,136,Below
1281.015,97,Above
1281.015,107,Above
1281.015,117,Above
1281.015,142,Below
1281.016,59,Below
1281.016,69,Below
1281.016,89,Above
1281.016,99,Above
1281.016,109,Above
1281.016,136,Below
1281.017,34,Above
1281.017,44,Above
1281.017,54,Above
1281.017,113,Above
1281.017,123,Above
1281.017,142,Below
1281.018,107,Above
1281.018,117,Above
1281.018,142,Below
1281.019,21,Above
1281.019,39,Above
1281.019,49,Above
1281.019,114,Above
1281.019,124,Above
1281.019,143,Below
1281.020,72,Above
1281.020,82,Above
1281.020,92,Above
1281.020,102,Above
1281.020,112,Above
1281.020,141,Below
1301.001,50,Above
1301.001,60,Above
1301.001,70,Above
1301.001,134,Below
1301.001,144,Below
1301.002,28,Above
1301.002,113,Above
1301.002,123,Above
1301.002,139,Below
1301.003,106,Above
1301.003,143,Below
1301.004,27,Above
1301.004,83,Above
1301.004,130,Below
1301.004,140,Below
1301.005,47,Above
1301.005,57,Above
1301.005,116,Above
1301.005,140,Below
1301.006,27,Above
1301.006,134,Below
1301.006,144,Below
1301.007,21,Above
1301.007,90,Below
1301.007,107,Above
1301.007,117,Above
1301.007,140,Below
1301.008,28,Above
1301.008,61,Above
1301.008,71,Above
1301.008,98,Above
1301.008,108,Above
1301.008,131,Below
1301.008,143,Below
1301.009,31,Below
1301.009,141,Below
1301.010,40,Above
1301.010,67,Above
1301.010,116,Above
1301.010,140,Below
1301.011,20,Below
1301.011,36,Above
1301.011,46,Above
1301.011,56,Above
1301.011,112,Above
1301.011,142,Below
1301.012,20,Above
1301.012,30,Above
1301.012,79,Below
1301.012,104,Above
1301.013,46,Above
1301.013,105,Above
1301.013,137,Below
1301.014,30,Above
1301.014,50,Above
1301.014,60,Above
1301.014,139,Below
1301.015,25,Above
1301.015,35,Above
1301.015,45,Above
1301.015,71,Below
1301.015,81,Below
1301.015,106,Above
1301.015,116,Above
1301.015,140,Below
1301.016,60,Above
1301.016,79,Below
1301.016,109,Above
1301.016,143,Below
1301.017,41,Above
1301.017,100,Above
1301.017,110,Above
1301.017,138,Below
1301.018,61,Above
1301.018,93,Above
1301.018,119,Above
1301.018,142,Below
1301.019,30,Above
1301.019,40,Above
1301.019,59,Above
1301.019,81,Below
1301.019,110,Above
1301.019,120,Above
1301.019,141,Below
1301.020,22,Above
1301.020,62,Above
1301.020,139,Below
