Member,Values,Condition
1091.005,141,Below
1101.006,117,Above
1131.007,143,Below
1151.008,105,Above
1231.001,107,Above
1231.003,126,Above
1231.004,54,Above
1231.004,61,Above
1231.010,142,Below
1231.011,64,Above
1231.013,120,Above
1231.014,117,Above
1231.014,122,Above
1231.014,143,Below
1231.015,142,Below
1231.017,58,Above
1231.017,115,Above
1231.017,141,Below
1231.018,116,Above
1231.020,59,Above
1251.001,142,Below
1251.002,47,Above
1251.002,136,Below
1251.004,57,Above
1251.005,144,Below
1251.009,104,Above
1251.009,141,Below
1251.012,21,Below
1251.012,103,Above
1251.013,126,Above
1251.016,112,Above
1251.017,49,Above
1251.017,54,Above
1251.017,59,Above
1251.017,136,Below
1281.004,43,Above
1281.009,39,Above
1281.010,32,Above
1281.016,144,Below
1281.017,120,Above
1281.018,111,Above
1281.018,116,Above
1281.020,78,Above
1301.001,58,Above
1301.001,63,Above
1301.001,141,Below
1301.002,143,Below
1301.007,143,Below
1301.010,144,Below
1301.011,41,Above
1301.015,113,Above
1301.017,109,Above
1301.017,114,Above
1301.019,116,Above
1301.019,121,Above
