Member,Values,Condition
1001.001,72,Above
1001.001,143,Below
1001.001,153,Below
1011.001,157,Below
1021.002,157,Below
1031.002,119,Above
1041.003,140,Below
1041.003,150,Below
1051.003,153,Below
1061.004,152,Below
1071.004,157,Below
1081.005,151,Below
1091.005,153,Below
1101.006,156,Below
1111.006,150,Below
1111.006,160,Below
1121.007,148,Below
1121.007,158,Below
1131.007,117,Above
1131.007,156,Below
1151.008,105,Above
1151.008,149,Below
1151.008,159,Below
1161.009,145,Below
1161.009,155,Below
1171.009,107,Above
1171.009,150,Below
1171.009,160,Below
1181.010,156,Below
1191.010,154,Below
1231.001,105,Above
1231.001,148,Below
1231.001,158,Below
1231.003,123,Above
1231.003,152,Below
1231.004,54,Above
1231.004,150,Below
1231.004,160,Below
1231.005,147,Below
1231.005,157,Below
1231.006,115,Above
1231.006,125,Above
1231.007,151,Below
1231.008,152,Below
1231.009,153,Below
1231.010,112,Above
1231.010,147,Below
1231.010,157,Below
1231.011,154,Below
1231.012,151,Below
1231.013,119,Above
1231.014,117,Above
1231.014,157,Below
1231.015,113,Above
1231.015,147,Below
1231.015,157,Below
1231.016,158,Below
1231.017,115,Above
1231.018,120,Above
1231.018,156,Below
1231.019,149,Below
1231.019,159,Below
1231.020,56,Above
1251.001,152,Below
1251.002,45,Above
1251.002,148,Below
1251.002,158,Below
1251.004,54,Above
1251.004,152,Below
1251.005,151,Below
1251.006,144,Below
1251.006,154,Below
1251.007,146,Below
1251.008,122,Above
1251.008,147,Below
1251.009,117,Above
1251.009,147,Below
1251.010,56,Above
1251.010,150,Below
1251.010,160,Below
1251.012,102,Above
1251.012,146,Below
1251.012,156,Below
1251.013,125,Above
1251.013,151,Below
1251.014,151,Below
1251.015,151,Below
1251.016,107,Above
1251.016,117,Above
1251.016,152,Below
1251.017,53,Above
1251.017,63,Above
1251.018,157,Below
1251.019,142,Below
1251.019,152,Below
1281.001,154,Below
1281.002,147,Below
1281.002,157,Below
1281.003,154,Below
1281.004,144,Below
1281.005,117,Above
1281.005,151,Below
1281.006,147,Below
1281.006,157,Below
1281.007,147,Below
1281.007,157,Below
1281.008,149,Below
1281.008,159,Below
1281.009,40,Above
1281.009,149,Below
1281.009,159,Below
1281.010,117,Above
1281.011,146,Below
1281.011,156,Below
1281.013,107,Above
1281.013,150,Below
1281.013,160,Below
1281.014,153,Below
1281.015,107,Above
1281.015,150,Below
1281.016,99,Above
1281.016,109,Above
1281.016,146,Below
1281.016,156,Below
1281.017,40,Above
1281.017,50,Above
1281.017,119,Above
1281.017,153,Below
1281.018,116,Above
1281.018,151,Below
1281.019,154,Below
1281.020,76,Above
1281.020,86,Above
1281.020,97,Above
1281.020,147,Below
1281.020,157,Below
1301.001,55,Above
1301.001,65,Above
1301.001,144,Below
1301.002,151,Below
1301.003,146,Below
1301.004,155,Below
1301.005,149,Below
1301.005,159,Below
1301.006,142,Below
1301.006,152,Below
1301.007,121,Above
1301.008,146,Below
1301.009,148,Below
1301.009,158,Below
1301.010,121,Above
1301.010,151,Below
1301.011,48,Above
1301.011,156,Below
1301.012,150,Below
1301.012,160,Below
1301.013,50,Above
1301.013,144,Below
1301.013,154,Below
1301.014,143,Below
1301.014,153,Below
1301.015,40,Above
1301.015,153,Below
1301.016,151,Below
1301.017,44,Above
1301.017,105,Above
1301.017,115,Above
1301.017,146,Below
1301.017,156,Below
1301.018,151,Below
1301.019,117,Above
1301.020,147,Below
1301.020,157,Below
