Member,Values,Condition
1001.001,67,Above
1001.001,77,Above
1001.001,138,Below
1031.002,114,Above
1031.002,124,Above
1041.003,133,Below
1041.003,143,Below
1061.004,82,Below
1061.004,112,Above
1061.004,122,Above
1071.004,108,Above
1071.004,118,Above
1081.005,71,Above
1081.005,101,Above
1081.005,111,Above
1091.005,113,Above
1091.005,123,Above
1101.006,123,Above
1101.006,133,Above
1111.006,110,Above
1121.007,45,Above
1121.007,113,Above
1131.007,40,Above
1131.007,113,Above
1131.007,123,Above
1141.008,102,Above
1151.008,103,Above
1151.008,113,Above
1161.009,99,Above
1161.009,141,Below
1171.009,101,Above
1171.009,111,Above
1181.010,114,Above
1191.010,51,Above
1191.010,116,Above
1231.001,52,Above
1231.001,102,Above
1231.001,112,Above
1231.002,48,Above
1231.002,58,Above
1231.003,54,Above
1231.003,120,Above
1231.003,130,Above
1231.004,51,Above
1231.004,61,Above
1231.005,93,Above
1231.005,108,Above
1231.005,144,Below
1231.006,52,Above
1231.006,112,Above
1231.006,122,Above
1231.008,53,Above
1231.009,91,Above
1231.009,107,Above
1231.009,117,Above
1231.010,110,Above
1231.010,120,Above
1231.010,144,Below
1231.012,114,Above
1231.013,115,Above
1231.013,125,Above
1231.014,113,Above
1231.014,123,Above
1231.015,102,Above
1231.015,112,Above
1231.015,142,Below
1231.016,54,Above
1231.016,88,Below
1231.016,124,Above
1231.017,57,Above
1231.017,109,Above
1231.017,119,Above
1231.017,143,Below
1231.018,67,Above
1231.018,113,Above
1231.019,74,Above
1231.019,108,Above
1231.020,52,Above
1231.020,62,Above
1231.020,117,Above
1251.001,55,Above
1251.001,119,Above
1251.002,40,Above
1251.002,50,Above
1251.002,109,Above
1251.002,139,Below
1251.003,110,Above
1251.003,120,Above
1251.004,51,Above
1251.004,61,Above
1251.005,112,Above
1251.005,122,Above
1251.006,92,Above
1251.006,102,Above
1251.006,141,Below
1251.007,41,Above
1251.007,51,Above
1251.007,142,Below
1251.008,110,Above
1251.008,120,Above
1251.008,143,Below
1251.009,107,Above
1251.009,117,Above
1251.009,143,Below
1251.010,51,Above
1251.010,61,Above
1251.011,109,Above
1251.011,119,Above
1251.012,66,Above
1251.012,96,Above
1251.012,106,Above
1251.012,142,Below
1251.013,54,Above
1251.013,64,Above
1251.013,122,Above
1251.013,132,Above
1251.014,50,Above
1251.014,60,Above
1251.015,103,Above
1251.016,104,Above
1251.016,114,Above
1251.017,50,Above
1251.017,60,Above
1251.017,109,Above
1251.017,119,Above
1251.017,141,Below
1251.018,103,Above
1251.018,115,Above
1251.019,137,Below
1251.020,63,Above
1251.020,111,Above
1281.001,50,Above
1281.002,42,Above
1281.002,63,Above
1281.002,111,Above
1281.002,121,Above
1281.003,40,Above
1281.003,50,Above
1281.003,60,Above
1281.003,96,Below
1281.003,127,Above
1281.004,52,Above
1281.004,114,Above
1281.004,141,Below
1281.005,40,Above
1281.005,110,Above
1281.005,120,Above
1281.006,109,Above
1281.006,143,Below
1281.007,144,Below
1281.008,40,Above
1281.008,116,Above
1281.009,40,Above
1281.010,58,Above
1281.010,114,Above
1281.010,124,Above
1281.011,42,Above
1281.011,52,Above
1281.011,103,Above
1281.011,141,Below
1281.012,60,Above
1281.013,103,Above
1281.013,113,Above
1281.014,109,Above
1281.014,119,Above
1281.015,103,Above
1281.015,113,Above
1281.016,62,Below
1281.016,72,Below
1281.016,94,Above
1281.016,104,Above
1281.016,114,Above
1281.016,144,Below
1281.017,40,Above
1281.017,50,Above
1281.017,111,Above
1281.017,121,Above
1281.018,110,Above
1281.018,120,Above
1281.019,42,Above
1281.019,52,Above
1281.019,117,Above
1281.020,73,Above
1281.020,83,Above
1281.020,93,Above
1281.020,103,Above
1281.020,113,Above
1301.001,53,Above
1301.001,63,Above
1301.001,73,Above
1301.001,139,Below
1301.002,118,Above
1301.003,105,Above
1301.003,115,Above
1301.003,143,Below
1301.004,83,Above
1301.004,139,Below
1301.005,49,Above
1301.005,59,Above
1301.005,120,Above
1301.006,140,Below
1301.007,115,Above
1301.007,125,Above
1301.008,64,Above
1301.008,101,Above
1301.008,111,Above
1301.008,142,Below
1301.010,40,Above
1301.010,116,Above
1301.011,40,Above
1301.011,50,Above
1301.011,124,Above
1301.013,42,Above
1301.013,52,Above
1301.013,110,Above
1301.013,141,Below
1301.014,50,Above
1301.014,60,Above
1301.014,139,Below
1301.015,40,Above
1301.015,50,Above
1301.015,81,Below
1301.015,91,Below
1301.015,112,Above
1301.016,60,Above
1301.016,114,Above
1301.017,40,Above
1301.017,50,Above
1301.017,102,Above
1301.017,112,Above
1301.017,143,Below
1301.018,97,Above
1301.018,115,Above
1301.019,40,Above
1301.019,50,Above
1301.019,114,Above
1301.019,124,Above
1301.020,56,Above
1301.020,66,Above
1301.020,143,Below
