Member,Values,Condition
1001.001,41,Above
1001.001,61,Above
1001.001,81,Above
1001.001,133,Below
1001.001,153,Below
1011.001,75,Above
1011.001,147,Below
1021.002,53,Above
1021.002,80,Below
1021.002,100,Below
1021.002,120,Above
1021.002,147,Below
1031.002,40,Below
1031.002,85,Below
1031.002,110,Above
1031.002,130,Above
1031.002,150,Below
1041.003,53,Above
1041.003,73,Above
1041.003,128,Below
1041.003,148,Below
1051.003,77,Below
1051.003,99,Above
1051.003,119,Above
1051.003,147,Below
1061.004,74,Below
1061.004,94,Below
1061.004,114,Above
1061.004,134,Above
1061.004,154,Below
1071.004,105,Above
1071.004,125,Above
1071.004,150,Below
1081.005,56,Above
1081.005,76,Above
1081.005,96,Above
1081.005,116,Above
1081.005,145,Below
1091.005,46,Above
1091.005,66,Above
1091.005,86,Above
1091.005,107,Above
1091.005,127,Above
1091.005,147,Below
1101.006,40,Above
1101.006,90,Below
1101.006,115,Above
1101.006,135,Above
1101.006,155,Below
1111.006,49,Above
1111.006,102,Above
1111.006,122,Above
1111.006,142,Below
1121.007,40,Above
1121.007,60,Above
1121.007,82,Above
1121.007,106,Above
1121.007,141,Below
1131.007,40,Above
1131.007,85,Below
1131.007,108,Above
1131.007,128,Above
1131.007,148,Below
1141.008,40,Below
1141.008,96,Above
1141.008,137,Below
1141.008,157,Below
1151.008,65,Below
1151.008,98,Above
1151.008,118,Above
1151.008,143,Below
1161.009,40,Above
1161.009,94,Above
1161.009,114,Above
1161.009,138,Below
1161.009,158,Below
1171.009,96,Above
1171.009,116,Above
1171.009,141,Below
1181.010,41,Above
1181.010,61,Above
1181.010,84,Below
1181.010,108,Above
1181.010,150,Below
1191.010,41,Above
1191.010,61,Above
1191.010,81,Above
1191.010,108,Above
1191.010,145,Below
1231.001,48,Above
1231.001,99,Above
1231.001,119,Above
1231.001,142,Below
1231.002,44,Above
1231.002,64,Above
1231.003,45,Above
1231.003,65,Above
1231.003,85,Below
1231.003,116,Above
1231.003,136,Above
1231.003,156,Below
1231.004,45,Above
1231.004,65,Above
1231.004,85,Below
1231.004,114,Above
1231.004,134,Above
1231.004,154,Below
1231.005,64,Below
1231.005,85,Above
1231.005,105,Above
1231.005,125,Above
1231.005,145,Below
1231.006,49,Above
1231.006,80,Below
1231.006,111,Above
1231.006,131,Above
1231.006,151,Below
1231.007,57,Above
1231.007,77,Above
1231.007,115,Above
1231.007,142,Below
1231.008,45,Above
1231.008,120,Above
1231.008,144,Below
1231.009,64,Below
1231.009,84,Above
1231.009,104,Above
1231.009,124,Above
1231.009,144,Below
1231.010,40,Above
1231.010,77,Below
1231.010,104,Above
1231.010,124,Above
1231.010,144,Below
1231.011,40,Below
1231.011,62,Above
1231.011,114,Above
1231.011,139,Below
1231.011,159,Below
1231.012,74,Below
1231.012,108,Above
1231.012,128,Above
1231.012,148,Below
1231.013,42,Above
1231.013,69,Below
1231.013,110,Above
1231.013,130,Above
1231.013,150,Below
1231.014,41,Above
1231.014,109,Above
1231.014,129,Above
1231.014,149,Below
1231.015,40,Below
1231.015,80,Above
1231.015,100,Above
1231.015,120,Above
1231.015,140,Below
1231.015,160,Below
1231.016,41,Above
1231.016,78,Below
1231.016,98,Below
1231.016,118,Above
1231.016,148,Below
1231.017,40,Below
1231.017,60,Above
1231.017,105,Above
1231.017,125,Above
1231.017,145,Below
1231.018,40,Below
1231.018,60,Above
1231.018,91,Below
1231.018,111,Above
1231.018,152,Below
1231.019,40,Below
1231.019,63,Above
1231.019,99,Above
1231.019,143,Below
1231.020,45,Above
1231.020,65,Above
1231.020,111,Above
1231.020,146,Below
1251.001,49,Above
1251.001,95,Below
1251.001,115,Above
1251.001,141,Below
1251.002,40,Above
1251.002,60,Above
1251.002,103,Above
1251.002,134,Below
1251.002,154,Below
1251.003,57,Above
1251.003,107,Above
1251.003,127,Above
1251.003,147,Below
1251.004,46,Above
1251.004,66,Above
1251.004,113,Above
1251.004,145,Below
1251.005,40,Above
1251.005,74,Below
1251.005,106,Above
1251.005,126,Above
1251.005,146,Below
1251.006,40,Below
1251.006,77,Above
1251.006,97,Above
1251.006,117,Above
1251.006,137,Below
1251.006,157,Below
1251.007,40,Above
1251.007,60,Above
1251.007,88,Below
1251.007,108,Above
1251.007,135,Below
1251.007,155,Below
1251.008,47,Above
1251.008,67,Above
1251.008,106,Above
1251.008,126,Above
1251.008,146,Below
1251.009,40,Below
1251.009,60,Above
1251.009,101,Above
1251.009,121,Above
1251.009,141,Below
1251.010,46,Above
1251.010,66,Above
1251.010,144,Below
1251.011,71,Below
1251.011,102,Above
1251.011,122,Above
1251.011,142,Below
1251.012,54,Above
1251.012,74,Above
1251.012,94,Above
1251.012,114,Above
1251.012,136,Below
1251.012,156,Below
1251.013,40,Above
1251.013,60,Above
1251.013,95,Below
1251.013,118,Above
1251.013,143,Below
1251.014,40,Above
1251.014,60,Above
1251.014,115,Above
1251.014,141,Below
1251.015,70,Below
1251.015,90,Above
1251.015,110,Above
1251.015,130,Above
1251.015,150,Below
1251.016,53,Below
1251.016,73,Below
1251.016,100,Above
1251.016,120,Above
1251.016,145,Below
1251.017,47,Above
1251.017,67,Above
1251.017,105,Above
1251.017,135,Below
1251.017,155,Below
1251.018,75,Below
1251.018,95,Above
1251.018,115,Above
1251.018,140,Below
1251.018,160,Below
1251.019,89,Above
1251.019,109,Above
1251.019,133,Below
1251.019,153,Below
1251.020,52,Above
1251.020,72,Above
1251.020,103,Above
1251.020,123,Above
1251.020,143,Below
1281.001,40,Above
1281.001,80,Above
