Member,Values,Condition
1001.001,67,Above
1001.001,77,Above
1001.001,138,Below
1001.001,148,Below
1001.001,158,Below
1011.001,150,Below
1011.001,160,Below
1021.002,153,Below
1031.002,114,Above
1031.002,124,Above
1031.002,150,Below
1031.002,160,Below
1041.003,133,Below
1041.003,143,Below
1041.003,153,Below
1051.003,151,Below
1061.004,82,Below
1061.004,112,Above
1061.004,122,Above
1061.004,149,Below
1061.004,159,Below
1071.004,108,Above
1071.004,118,Above
1071.004,154,Below
1081.005,71,Above
1081.005,101,Above
1081.005,111,Above
1081.005,149,Below
1081.005,159,Below
1091.005,113,Above
1091.005,123,Above
1091.005,149,Below
1091.005,159,Below
1101.006,123,Above
1101.006,133,Above
1101.006,152,Below
1111.006,110,Above
1111.006,146,Below
1111.006,156,Below
1121.007,45,Above
1121.007,113,Above
1121.007,145,Below
1121.007,155,Below
1131.007,40,Above
1131.007,113,Above
1131.007,123,Above
1131.007,151,Below
1141.008,102,Above
1141.008,146,Below
1141.008,156,Below
1151.008,103,Above
1151.008,113,Above
1151.008,146,Below
1151.008,156,Below
1161.009,99,Above
1161.009,141,Below
1161.009,151,Below
1171.009,101,Above
1171.009,111,Above
1171.009,146,Below
1171.009,156,Below
1181.010,114,Above
1181.010,153,Below
1191.010,51,Above
1191.010,116,Above
1191.010,149,Below
1191.010,159,Below
1231.001,52,Above
1231.001,102,Above
1231.001,112,Above
1231.001,145,Below
1231.001,155,Below
1231.002,48,Above
1231.002,58,Above
1231.003,54,Above
1231.003,120,Above
1231.003,130,Above
1231.003,149,Below
1231.003,159,Below
1231.004,51,Above
1231.004,61,Above
1231.004,148,Below
1231.004,158,Below
1231.005,93,Above
1231.005,108,Above
1231.005,144,Below
1231.005,154,Below
1231.006,52,Above
1231.006,112,Above
1231.006,122,Above
1231.006,151,Below
1231.007,147,Below
1231.007,157,Below
1231.008,53,Above
1231.008,147,Below
1231.008,157,Below
1231.009,91,Above
1231.009,107,Above
1231.009,117,Above
1231.009,146,Below
1231.009,156,Below
1231.010,110,Above
1231.010,120,Above
1231.010,144,Below
1231.010,154,Below
1231.011,145,Below
1231.011,155,Below
1231.012,114,Above
1231.012,148,Below
1231.012,158,Below
1231.013,115,Above
1231.013,125,Above
1231.013,153,Below
1231.014,113,Above
1231.014,123,Above
1231.014,151,Below
1231.015,102,Above
1231.015,112,Above
1231.015,142,Below
1231.015,152,Below
1231.016,54,Above
1231.016,88,Below
1231.016,124,Above
1231.016,152,Below
1231.017,57,Above
1231.017,109,Above
1231.017,119,Above
1231.017,143,Below
1231.017,153,Below
1231.018,67,Above
1231.018,113,Above
1231.018,155,Below
1231.019,74,Above
1231.019,108,Above
1231.019,146,Below
1231.019,156,Below
1231.020,52,Above
1231.020,62,Above
1231.020,117,Above
1231.020,152,Below
1251.001,55,Above
1251.001,119,Above
1251.001,145,Below
1251.001,155,Below
1251.002,40,Above
1251.002,50,Above
1251.002,109,Above
1251.002,139,Below
1251.002,149,Below
1251.002,159,Below
1251.003,110,Above
1251.003,120,Above
1251.003,146,Below
1251.003,156,Below
1251.004,51,Above
1251.004,61,Above
1251.004,149,Below
1251.004,159,Below
1251.005,112,Above
1251.005,122,Above
1251.005,149,Below
1251.005,159,Below
1251.006,92,Above
1251.006,102,Above
1251.006,141,Below
1251.006,151,Below
1251.007,41,Above
1251.007,51,Above
1251.007,142,Below
1251.007,152,Below
1251.008,110,Above
1251.008,120,Above
1251.008,143,Below
1251.008,153,Below
1251.009,107,Above
1251.009,117,Above
1251.009,143,Below
1251.009,153,Below
1251.010,51,Above
1251.010,61,Above
1251.010,147,Below
1251.010,157,Below
1251.011,109,Above
1251.011,119,Above
1251.011,146,Below
1251.011,156,Below
1251.012,66,Above
1251.012,96,Above
1251.012,106,Above
1251.012,142,Below
1251.012,152,Below
1251.013,54,Above
1251.013,64,Above
1251.013,122,Above
1251.013,132,Above
1251.013,146,Below
1251.013,156,Below
1251.014,50,Above
1251.014,60,Above
1251.014,146,Below
1251.014,156,Below
1251.015,103,Above
1251.015,147,Below
1251.015,157,Below
1251.016,104,Above
1251.016,114,Above
1251.016,148,Below
1251.016,158,Below
1251.017,50,Above
1251.017,60,Above
1251.017,109,Above
1251.017,119,Above
1251.017,141,Below
1251.017,151,Below
1251.018,103,Above
1251.018,115,Above
1251.018,149,Below
1251.018,159,Below
1251.019,137,Below
1251.019,147,Below
1251.019,157,Below
1251.020,63,Above
1251.020,111,Above
