Member,Values,Condition
1001.001,66,Above
1001.001,71,Above
1001.001,76,Above
1001.001,137,Below
1001.001,142,Below
1021.002,84,Below
1021.002,89,Below
1021.002,111,Above
1021.002,116,Above
1021.002,121,Above
1031.002,25,Below
1031.002,30,Below
1031.002,111,Above
1031.002,116,Above
1031.002,121,Above
1031.002,126,Above
1031.002,141,Below
1041.003,56,Above
1041.003,63,Above
1041.003,131,Below
1041.003,136,Below
1041.003,141,Below
1051.003,99,Above
1061.004,81,Below
1061.004,86,Below
1061.004,109,Above
1061.004,114,Above
1061.004,120,Above
1061.004,125,Above
1061.004,142,Below
1071.004,34,Above
1071.004,108,Above
1071.004,113,Above
1071.004,118,Above
1081.005,46,Above
1081.005,100,Above
1081.005,105,Above
1081.005,110,Above
1081.005,115,Above
1091.005,20,Below
1091.005,47,Above
1091.005,112,Above
1091.005,117,Above
1091.005,122,Above
1091.005,139,Below
1091.005,144,Below
1101.006,29,Above
1101.006,96,Below
1101.006,115,Above
1101.006,120,Above
1101.006,125,Above
1101.006,130,Above
1111.006,52,Above
1111.006,57,Above
1111.006,107,Above
1111.006,112,Above
1111.006,139,Below
1111.006,144,Below
1121.007,44,Above
1121.007,49,Above
1121.007,114,Above
1121.007,139,Below
1121.007,144,Below
1131.007,31,Above
1131.007,36,Above
1131.007,41,Above
1131.007,110,Above
1131.007,115,Above
1131.007,120,Above
1131.007,125,Above
1131.007,141,Below
1141.008,102,Above
1141.008,107,Above
1141.008,138,Below
1141.008,144,Below
1151.008,97,Above
1151.008,102,Above
1151.008,107,Above
1151.008,112,Above
1151.008,141,Below
1161.009,100,Above
1161.009,105,Above
1161.009,139,Below
1161.009,144,Below
1171.009,102,Above
1171.009,107,Above
1171.009,112,Above
1171.009,117,Above
1171.009,134,Below
1171.009,139,Below
1171.009,144,Below
1181.010,109,Above
1181.010,114,Above
1181.010,119,Above
1191.010,50,Above
1191.010,83,Above
1191.010,88,Above
1231.001,48,Above
1231.001,53,Above
1231.001,58,Above
1231.001,101,Above
1231.001,106,Above
1231.001,111,Above
1231.001,141,Below
1231.002,46,Above
1231.002,51,Above
1231.002,56,Above
1231.003,57,Above
1231.003,77,Below
1231.003,82,Below
1231.003,115,Above
1231.003,120,Above
1231.003,125,Above
1231.003,130,Above
1231.004,49,Above
1231.004,54,Above
1231.004,59,Above
1231.004,64,Above
1231.004,78,Below
1231.004,83,Below
1231.004,104,Above
1231.004,109,Above
1231.005,87,Above
1231.005,92,Above
1231.005,108,Above
1231.005,113,Above
1231.005,118,Above
1231.005,139,Below
1231.005,144,Below
1231.006,52,Above
1231.006,57,Above
1231.006,105,Above
1231.006,110,Above
1231.006,115,Above
1231.006,120,Above
1231.006,125,Above
1231.006,142,Below
1231.007,56,Above
1231.007,77,Above
1231.007,115,Above
1231.007,120,Above
1231.007,139,Below
1231.007,144,Below
1231.008,49,Above
1231.008,54,Above
1231.008,59,Above
1231.008,76,Below
1231.008,81,Below
1231.008,100,Above
1231.008,105,Above
1231.009,84,Above
1231.009,89,Above
1231.009,107,Above
1231.009,112,Above
1231.009,117,Above
1231.009,122,Above
1231.009,136,Below
1231.009,141,Below
1231.010,31,Above
1231.010,36,Above
1231.010,101,Above
1231.010,106,Above
1231.010,111,Above
1231.010,116,Above
1231.010,121,Above
1231.010,126,Above
1231.010,138,Below
1231.010,143,Below
1231.011,23,Below
1231.011,28,Below
1231.011,33,Below
1231.011,60,Above
1231.011,65,Above
1231.011,70,Above
1231.011,137,Below
1231.011,142,Below
1231.012,100,Above
1231.012,113,Above
1231.012,118,Above
1231.012,142,Below
1231.013,42,Above
1231.013,67,Below
1231.013,72,Below
1231.013,115,Above
1231.013,120,Above
1231.013,125,Above
1231.013,142,Below
1231.014,112,Above
1231.014,117,Above
1231.014,122,Above
1231.014,140,Below
1231.015,104,Above
1231.015,109,Above
1231.015,114,Above
1231.015,135,Below
1231.015,140,Below
1231.016,46,Above
1231.016,51,Above
1231.016,85,Below
1231.016,90,Below
1231.016,95,Below
1231.016,113,Above
1231.016,118,Above
1231.016,123,Above
1231.016,128,Above
1231.016,144,Below
1231.017,29,Below
1231.017,49,Above
1231.017,54,Above
1231.017,59,Above
1231.017,64,Above
1231.017,101,Above
1231.017,108,Above
1231.017,113,Above
1231.017,118,Above
1231.017,135,Below
1231.017,140,Below
1231.018,28,Below
1231.018,65,Above
1231.018,92,Below
1231.018,99,Below
1231.018,109,Above
1231.018,114,Above
1231.018,119,Above
1231.019,74,Above
1231.019,102,Above
1231.019,107,Above
1231.019,112,Above
1231.020,46,Above
1231.020,51,Above
1231.020,56,Above
1231.020,61,Above
1231.020,111,Above
1231.020,116,Above
1231.020,121,Above
1251.001,54,Above
1251.001,59,Above
1251.001,82,Below
1251.001,115,Above
1251.001,138,Below
1251.001,143,Below
1251.002,39,Above
1251.002,44,Above
1251.002,49,Above
1251.002,109,Above
1251.002,116,Above
1251.002,132,Below
1251.002,137,Below
1251.002,142,Below
1251.003,24,Below
1251.003,110,Above
1251.003,115,Above
1251.003,120,Above
1251.003,138,Below
1251.003,143,Below
1251.004,47,Above
1251.004,52,Above
1251.004,57,Above
1251.004,62,Above
1251.004,118,Above
1251.005,39,Above
1251.005,44,Above
1251.005,74,Below
1251.005,114,Above
1251.005,121,Above
1251.005,142,Below
1251.006,87,Above
1251.006,92,Above
1251.006,142,Below
1251.007,35,Above
1251.007,40,Above
1251.007,45,Above
1251.007,50,Above
1251.007,88,Below
1251.007,108,Above
1251.007,113,Above
1251.007,131,Below
1251.007,136,Below
1251.007,141,Below
1251.008,49,Above
1251.008,110,Above
1251.008,119,Above
1251.008,124,Above
1251.008,141,Below
1251.009,58,Above
1251.009,63,Above
1251.009,99,Above
1251.009,104,Above
1251.009,109,Above
1251.009,114,Above
1251.009,119,Above
1251.009,137,Below
1251.009,142,Below
1251.010,22,Below
1251.010,46,Above
1251.010,51,Above
1251.010,56,Above
1251.010,80,Below
1251.011,111,Above
1251.011,116,Above
1251.011,121,Above
1251.011,126,Above
1251.011,140,Below
1251.012,20,Below
1251.012,25,Below
1251.012,30,Below
1251.012,51,Above
1251.012,56,Above
1251.012,69,Above
1251.012,94,Above
1251.012,99,Above
1251.012,104,Above
1251.012,109,Above
1251.012,129,Below
1251.012,134,Below
1251.012,139,Below
1251.012,144,Below
1251.013,57,Above
1251.013,62,Above
1251.013,84,Below
1251.013,117,Above
1251.013,122,Above
