Member,Values,Condition
1001.001,41,Above
1001.001,58,Above
1001.001,68,Above
1001.001,78,Above
1001.001,88,Above
1001.001,133,Below
1001.001,143,Below
1001.001,153,Below
1011.001,75,Above
1011.001,85,Above
1011.001,147,Below
1011.001,157,Below
1021.002,53,Above
1021.002,63,Above
1021.002,80,Below
1021.002,90,Below
1021.002,100,Below
1021.002,118,Above
1021.002,147,Below
1021.002,157,Below
1031.002,40,Below
1031.002,85,Below
1031.002,110,Above
1031.002,120,Above
1031.002,130,Above
1031.002,144,Below
1031.002,154,Below
1041.003,53,Above
1041.003,63,Above
1041.003,73,Above
1041.003,83,Above
1041.003,128,Below
1041.003,138,Below
1041.003,148,Below
1041.003,158,Below
1051.003,77,Below
1051.003,99,Above
1051.003,110,Above
1051.003,120,Above
1051.003,130,Above
1051.003,147,Below
1051.003,157,Below
1061.004,74,Below
1061.004,84,Below
1061.004,94,Below
1061.004,109,Above
1061.004,119,Above
1061.004,129,Above
1061.004,145,Below
1061.004,155,Below
1071.004,105,Above
1071.004,115,Above
1071.004,125,Above
1071.004,150,Below
1071.004,160,Below
1081.005,56,Above
1081.005,66,Above
1081.005,76,Above
1081.005,86,Above
1081.005,96,Above
1081.005,106,Above
1081.005,116,Above
1081.005,126,Above
1081.005,145,Below
1081.005,155,Below
1091.005,46,Above
1091.005,56,Above
1091.005,66,Above
1091.005,76,Above
1091.005,86,Above
1091.005,107,Above
1091.005,117,Above
1091.005,127,Above
1091.005,145,Below
1091.005,155,Below
1101.006,40,Above
1101.006,90,Below
1101.006,100,Below
1101.006,115,Above
1101.006,125,Above
1101.006,135,Above
1101.006,148,Below
1101.006,158,Below
1111.006,49,Above
1111.006,59,Above
1111.006,102,Above
1111.006,112,Above
1111.006,122,Above
1111.006,142,Below
1111.006,152,Below
1121.007,40,Above
1121.007,50,Above
1121.007,60,Above
1121.007,70,Above
1121.007,82,Above
1121.007,106,Above
1121.007,116,Above
1121.007,141,Below
1121.007,151,Below
1131.007,40,Above
1131.007,50,Above
1131.007,85,Below
1131.007,108,Above
1131.007,118,Above
1131.007,128,Above
1131.007,145,Below
1131.007,155,Below
1141.008,40,Below
1141.008,96,Above
1141.008,106,Above
1141.008,137,Below
1141.008,147,Below
1141.008,157,Below
1151.008,65,Below
1151.008,75,Below
1151.008,98,Above
1151.008,108,Above
1151.008,118,Above
1151.008,128,Above
1151.008,143,Below
1151.008,153,Below
1161.009,40,Above
1161.009,94,Above
1161.009,104,Above
1161.009,114,Above
1161.009,124,Above
1161.009,138,Below
1161.009,148,Below
1161.009,158,Below
1171.009,96,Above
1171.009,106,Above
1171.009,116,Above
1171.009,126,Above
1171.009,141,Below
1171.009,151,Below
1181.010,41,Above
1181.010,54,Above
1181.010,84,Below
1181.010,94,Below
1181.010,108,Above
1181.010,118,Above
1181.010,150,Below
1181.010,160,Below
1191.010,41,Above
1191.010,51,Above
