Member,Values,Condition
1001.001,62,Above
1001.001,67,Above
1001.001,72,Above
1001.001,77,Above
1001.001,82,Above
1001.001,133,Below
1001.001,138,Below
1001.001,143,Below
1011.001,20,Above
1011.001,26,Above
1011.001,75,Above
1011.001,82,Above
1011.001,87,Above
1021.002,41,Above
1021.002,59,Above
1021.002,78,Below
1021.002,83,Below
1021.002,88,Below
1021.002,93,Below
1021.002,108,Above
1021.002,113,Above
1021.002,118,Above
1021.002,123,Above
1021.002,139,Below
1021.002,144,Below
1031.002,23,Below
1031.002,28,Below
1031.002,33,Below
1031.002,51,Above
1031.002,78,Below
1031.002,83,Below
1031.002,88,Below
1031.002,107,Above
1031.002,112,Above
1031.002,117,Above
1031.002,122,Above
1031.002,127,Above
1031.002,139,Below
1031.002,144,Below
1041.003,47,Above
1041.003,52,Above
1041.003,57,Above
1041.003,62,Above
1041.003,86,Above
1041.003,128,Below
1041.003,133,Below
1041.003,138,Below
1041.003,143,Below
1051.003,20,Below
1051.003,37,Above
1051.003,42,Above
1051.003,74,Below
1051.003,79,Below
1051.003,96,Above
1051.003,101,Above
1051.003,106,Above
1051.003,111,Above
1051.003,116,Above
1051.003,123,Above
1051.003,128,Above
1051.003,144,Below
1061.004,76,Below
1061.004,81,Below
1061.004,86,Below
1061.004,91,Below
1061.004,101,Above
1061.004,106,Above
1061.004,111,Above
1061.004,116,Above
1061.004,121,Above
1061.004,126,Above
1061.004,139,Below
1061.004,144,Below
1071.004,24,Above
1071.004,29,Above
1071.004,34,Above
1071.004,50,Below
1071.004,69,Above
1071.004,74,Above
1071.004,89,Below
1071.004,105,Above
1071.004,110,Above
1071.004,115,Above
1071.004,120,Above
1071.004,125,Above
1071.004,139,Below
1071.004,144,Below
1081.005,20,Below
1081.005,25,Below
1081.005,30,Below
1081.005,43,Above
1081.005,48,Above
1081.005,53,Above
1081.005,58,Above
1081.005,63,Above
1081.005,68,Above
1081.005,73,Above
1081.005,85,Above
1081.005,90,Above
1081.005,95,Above
1081.005,100,Above
1081.005,105,Above
1081.005,110,Above
1081.005,115,Above
1081.005,120,Above
1081.005,125,Above
1081.005,142,Below
1091.005,20,Below
1091.005,25,Below
1091.005,30,Below
1091.005,39,Above
1091.005,44,Above
1091.005,49,Above
1091.005,54,Above
1091.005,71,Above
1091.005,76,Above
1091.005,83,Above
1091.005,109,Above
1091.005,114,Above
1091.005,119,Above
1091.005,124,Above
1091.005,137,Below
1091.005,142,Below
1101.006,22,Above
1101.006,27,Above
1101.006,32,Above
1101.006,37,Above
1101.006,91,Below
1101.006,96,Below
1101.006,101,Below
1101.006,112,Above
1101.006,117,Above
1101.006,122,Above
1101.006,127,Above
1101.006,132,Above
1101.006,137,Above
1101.006,143,Below
1111.006,45,Above
1111.006,50,Above
1111.006,55,Above
1111.006,60,Above
1111.006,104,Above
1111.006,109,Above
1111.006,114,Above
1111.006,134,Below
1111.006,139,Below
1111.006,144,Below
1121.007,20,Above
1121.007,41,Above
1121.007,46,Above
1121.007,51,Above
1121.007,56,Above
1121.007,61,Above
1121.007,66,Above
1121.007,71,Above
1121.007,106,Above
1121.007,111,Above
1121.007,116,Above
1121.007,121,Above
1121.007,135,Below
1121.007,140,Below
1131.007,28,Above
1131.007,33,Above
1131.007,38,Above
1131.007,43,Above
