Member,Values,Condition
1001.001,50,Below
1001.001,70,Above
1001.001,105,Below
1001.001,137,Below
1011.001,20,Above
1011.001,40,Below
1011.001,75,Above
1011.001,103,Below
1011.001,123,Below
1011.001,143,Above
1021.002,24,Below
1021.002,78,Below
1021.002,98,Below
1031.002,22,Below
1031.002,42,Below
1031.002,79,Below
1031.002,118,Above
1031.002,144,Below
1041.003,25,Below
1041.003,63,Above
1041.003,83,Above
1041.003,104,Below
1041.003,124,Below
1051.003,20,Below
1051.003,57,Below
1051.003,78,Below
1051.003,98,Above
1051.003,118,Below
1051.003,138,Above
1061.004,27,Below
1061.004,47,Below
1061.004,76,Below
1061.004,112,Above
1061.004,132,Above
1071.004,27,Above
1071.004,47,Below
1071.004,71,Above
1071.004,91,Below
1071.004,111,Above
1071.004,141,Above
1081.005,20,Below
1081.005,69,Above
1081.005,89,Above
1081.005,133,Above
1091.005,20,Below
1091.005,41,Above
1091.005,72,Above
1091.005,102,Below
1091.005,122,Above
1101.006,23,Above
1101.006,55,Below
1101.006,92,Below
1101.006,118,Above
1101.006,138,Above
1111.006,23,Below
1111.006,56,Above
1111.006,82,Above
1111.006,123,Below
1111.006,143,Above
1121.007,20,Above
1121.007,44,Above
1121.007,69,Above
1121.007,101,Below
1131.007,29,Above
1131.007,59,Below
1131.007,101,Below
1131.007,121,Above
1141.008,27,Below
1141.008,47,Below
1141.008,102,Above
1141.008,122,Below
1151.008,39,Below
1151.008,63,Below
1151.008,90,Above
1151.008,110,Above
1161.009,21,Above
1161.009,52,Below
1161.009,95,Above
1161.009,141,Below
1171.009,20,Above
1171.009,40,Below
1171.009,100,Above
1171.009,130,Below
1181.010,85,Below
1181.010,118,Above
1181.010,140,Above
1191.010,52,Above
1191.010,78,Above
1191.010,102,Below
1191.010,131,Below
1231.001,20,Below
1231.001,48,Above
1231.001,101,Above
1231.001,125,Below
1231.002,25,Below
1231.002,46,Above
1231.002,79,Below
1231.003,23,Above
1231.003,57,Above
1231.003,77,Below
1231.003,97,Below
1231.003,125,Above
1231.004,20,Below
1231.004,47,Above
1231.004,67,Above
1231.004,87,Below
1231.004,131,Above
1231.005,35,Below
1231.005,55,Below
1231.005,83,Above
1231.006,32,Below
1231.006,54,Above
1231.006,74,Below
1231.006,115,Above
1231.007,22,Below
1231.007,70,Above
1231.007,98,Below
1231.008,21,Above
1231.008,41,Below
1231.008,61,Above
1231.008,81,Below
1231.008,101,Above
1231.008,121,Below
1231.008,141,Above
1231.009,31,Below
1231.009,51,Below
1231.009,79,Above
1231.009,135,Below
1231.010,28,Above
1231.010,52,Below
1231.010,101,Above
1231.010,121,Above
1231.010,141,Below
1231.011,20,Below
1231.011,40,Below
1231.011,61,Above
1231.011,107,Below
1231.012,25,Above
1231.012,45,Below
1231.012,76,Below
1231.012,96,Above
1231.012,126,Above
1231.013,20,Below
1231.013,42,Above
1231.013,62,Below
1231.013,110,Below
1231.013,130,Above
1231.014,63,Below
1231.014,94,Below
1231.014,117,Above
1231.014,143,Below
1231.015,35,Below
1231.015,55,Below
1231.015,75,Above
1231.015,126,Below
1231.016,22,Below
1231.016,45,Above
1231.016,65,Below
1231.016,85,Below
1231.016,121,Above
1231.016,141,Above
1231.017,20,Below
1231.017,40,Below
1231.017,60,Above
1231.017,99,Above
1231.017,119,Above
1231.017,139,Below
1231.018,20,Below
1231.018,40,Below
1231.018,63,Above
1231.018,86,Below
1231.018,111,Above
1231.019,30,Below
1231.019,50,Below
1231.019,70,Above
1231.019,118,Below
1231.019,139,Above
1231.020,20,Below
1231.020,43,Above
1231.020,63,Above
1231.020,101,Below
1231.020,124,Below
1251.001,28,Below
1251.001,55,Above
1251.001,80,Below
1251.001,100,Below
1251.001,142,Below
1251.002,38,Above
1251.002,67,Below
1251.002,118,Below
1251.003,20,Below
1251.003,98,Below
1251.003,141,Below
1251.004,25,Below
1251.004,48,Above
1251.004,81,Below
1251.004,101,Below
1251.004,131,Above
1251.005,41,Above
1251.005,61,Below
1251.005,93,Above
1251.005,125,Above
1251.006,35,Below
1251.006,77,Above
1251.006,97,Above
1251.006,117,Below
1251.007,34,Above
1251.007,86,Below
1251.007,121,Below
1251.008,26,Below
1251.008,48,Above
1251.008,142,Below
1251.009,31,Below
1251.009,59,Above
1251.009,99,Above
1251.009,138,Below
1251.010,20,Below
1251.010,48,Above
1251.010,76,Below
1251.010,107,Below
1251.010,133,Above
1251.011,51,Below
1251.011,71,Below
1251.011,95,Above
1251.011,125,Above
1251.012,20,Below
1251.012,50,Above
1251.012,70,Above
1251.012,92,Above
1251.012,119,Below
1251.013,27,Above
1251.013,59,Above
1251.013,82,Below
1251.013,102,Below
1251.013,122,Above
1251.014,51,Above
1251.014,78,Below
1251.015,38,Below
1251.015,71,Below
1251.015,91,Above
1251.015,128,Above
1251.016,21,Above
1251.016,42,Below
1251.016,62,Below
1251.016,82,Above
1251.016,105,Above
1251.017,20,Below
1251.017,40,Below
1251.017,60,Above
1251.017,86,Below
1251.017,108,Above
1251.017,128,Below
1251.018,28,Below
1251.018,56,Below
1251.018,90,Above
