Member,Values,Condition
1001.001,62,Above
1001.001,82,Above
1001.001,133,Below
1011.001,20,Above
1011.001,75,Above
1021.002,41,Above
1021.002,78,Below
1021.002,108,Above
1021.002,139,Below
1031.002,23,Below
1031.002,51,Above
1031.002,78,Below
1031.002,107,Above
1031.002,127,Above
1041.003,47,Above
1041.003,86,Above
1041.003,128,Below
1051.003,20,Below
1051.003,40,Above
1051.003,74,Below
1051.003,96,Above
1051.003,116,Above
1051.003,144,Below
1061.004,76,Below
1061.004,101,Above
1061.004,121,Above
1061.004,141,Below
1071.004,24,Above
1071.004,50,Below
1071.004,70,Above
1071.004,90,Below
1071.004,110,Above
1071.004,139,Below
1081.005,20,Below
1081.005,43,Above
1081.005,63,Above
1081.005,85,Above
1081.005,105,Above
1081.005,125,Above
1091.005,20,Below
1091.005,40,Above
1091.005,71,Above
1091.005,109,Above
1091.005,137,Below
1101.006,22,Above
1101.006,91,Below
1101.006,112,Above
1101.006,132,Above
1111.006,45,Above
1111.006,104,Above
1111.006,134,Below
1121.007,20,Above
1121.007,41,Above
1121.007,61,Above
1121.007,106,Above
1121.007,135,Below
1131.007,28,Above
1131.007,48,Above
1131.007,105,Above
1131.007,125,Above
1141.008,29,Below
1141.008,58,Above
1141.008,97,Above
1141.008,129,Below
1151.008,45,Below
1151.008,69,Below
1151.008,92,Above
1151.008,112,Above
1151.008,137,Below
1161.009,20,Above
1161.009,94,Above
1161.009,117,Above
1161.009,137,Below
1171.009,20,Above
1171.009,54,Above
1171.009,97,Above
1171.009,117,Above
1171.009,137,Below
1181.010,36,Above
1181.010,80,Below
1181.010,106,Above
1191.010,37,Above
1191.010,57,Above
1191.010,79,Above
1191.010,110,Above
1191.010,134,Below
1231.001,20,Below
1231.001,44,Above
1231.001,99,Above
1231.001,130,Below
1231.002,29,Below
1231.002,49,Above
1231.002,77,Below
1231.002,100,Above
1231.003,22,Above
1231.003,47,Above
1231.003,74,Below
1231.003,112,Above
1231.003,132,Above
1231.004,20,Below
1231.004,40,Above
1231.004,60,Above
1231.004,80,Below
1231.004,101,Above
1231.004,121,Above
1231.004,143,Below
1231.005,66,Below
1231.005,86,Above
1231.005,106,Above
1231.005,137,Below
1231.006,49,Above
1231.006,73,Below
1231.006,102,Above
1231.006,122,Above
1231.006,142,Below
1231.007,27,Below
1231.007,49,Above
1231.007,70,Above
1231.007,112,Above
1231.007,136,Below
1231.008,21,Above
1231.008,46,Above
1231.008,72,Below
1231.008,97,Above
1231.008,127,Above
1231.009,81,Above
1231.009,101,Above
1231.009,121,Above
1231.009,141,Below
1231.010,24,Above
1231.010,81,Below
1231.010,101,Above
1231.010,121,Above
1231.010,141,Below
1231.011,20,Below
1231.011,40,Below
1231.011,60,Above
1231.011,112,Above
1231.011,135,Below
1231.012,23,Above
1231.012,43,Below
1231.012,76,Below
1231.012,96,Above
1231.012,116,Above
1231.012,140,Below
1231.013,20,Below
1231.013,40,Above
1231.013,63,Below
1231.013,83,Below
1231.013,104,Above
1231.013,124,Above
1231.013,144,Below
1231.014,35,Above
1231.014,95,Below
1231.014,115,Above
1231.014,138,Below
1231.015,38,Below
1231.015,70,Above
1231.015,99,Above
1231.015,119,Above
1231.015,139,Below
1231.016,25,Below
1231.016,45,Above
1231.016,71,Below
1231.016,91,Below
1231.016,111,Above
1231.016,131,Above
