Member,Values,Condition
1001.001,50,Below
1001.001,66,Above
1001.001,71,Above
1001.001,76,Above
1001.001,81,Above
1001.001,105,Below
1001.001,110,Below
1001.001,115,Below
1001.001,137,Below
1001.001,142,Below
1011.001,20,Above
1011.001,39,Below
1011.001,44,Below
1011.001,49,Below
1011.001,75,Above
1011.001,80,Above
1011.001,85,Above
1011.001,90,Above
1011.001,103,Below
1011.001,108,Below
1011.001,113,Below
1011.001,118,Below
1011.001,123,Below
1011.001,139,Above
1011.001,144,Above
1021.002,24,Below
1021.002,78,Below
1021.002,83,Below
1021.002,88,Below
1021.002,93,Below
1021.002,98,Below
1021.002,103,Below
1031.002,22,Below
1031.002,27,Below
1031.002,32,Below
1031.002,37,Below
1031.002,42,Below
1031.002,53,Below
1031.002,79,Below
1031.002,85,Below
1031.002,90,Below
1031.002,118,Above
1031.002,123,Above
1031.002,128,Above
1031.002,133,Above
1031.002,144,Below
1041.003,25,Below
1041.003,30,Below
1041.003,63,Above
1041.003,71,Above
1041.003,76,Above
1041.003,81,Above
1041.003,86,Above
1041.003,104,Below
1041.003,109,Below
1041.003,114,Below
1041.003,119,Below
1041.003,124,Below
1041.003,129,Below
1041.003,134,Below
1041.003,141,Below
1051.003,20,Below
1051.003,57,Below
1051.003,78,Below
1051.003,97,Above
1051.003,117,Below
1051.003,134,Above
1051.003,139,Above
1051.003,144,Above
1061.004,27,Below
1061.004,33,Below
1061.004,40,Below
1061.004,45,Below
1061.004,50,Below
1061.004,55,Below
1061.004,60,Below
1061.004,76,Below
1061.004,81,Below
1061.004,86,Below
1061.004,91,Below
1061.004,112,Above
1061.004,121,Above
1061.004,126,Above
1061.004,131,Above
1061.004,136,Above
1071.004,27,Above
1071.004,32,Above
1071.004,37,Above
1071.004,46,Below
1071.004,51,Below
1071.004,56,Below
1071.004,61,Below
1071.004,71,Above
1071.004,76,Above
1071.004,91,Below
1071.004,98,Below
1071.004,110,Above
1071.004,115,Above
1071.004,120,Above
1071.004,141,Above
1081.005,20,Below
1081.005,25,Below
1081.005,30,Below
1081.005,69,Above
1081.005,74,Above
1081.005,79,Above
1081.005,84,Above
1081.005,89,Above
1081.005,96,Above
1081.005,101,Above
1081.005,133,Above
1081.005,138,Above
1091.005,20,Below
1091.005,25,Below
1091.005,30,Below
1091.005,41,Above
1091.005,46,Above
1091.005,72,Above
1091.005,77,Above
1091.005,82,Above
1091.005,87,Above
1091.005,102,Below
1091.005,120,Above
1091.005,125,Above
1101.006,23,Above
1101.006,28,Above
1101.006,33,Above
1101.006,55,Below
1101.006,60,Below
1101.006,65,Below
1101.006,92,Below
1101.006,97,Below
1101.006,102,Below
1101.006,107,Below
1101.006,118,Above
1101.006,123,Above
1101.006,128,Above
1101.006,133,Above
1101.006,138,Above
1101.006,143,Above
1111.006,23,Below
1111.006,28,Below
1111.006,56,Above
1111.006,82,Above
1111.006,123,Below
1111.006,143,Above
1121.007,20,Above
1121.007,44,Above
1121.007,49,Above
1121.007,69,Above
1121.007,74,Above
1121.007,81,Above
1121.007,101,Below
1131.007,29,Above
1131.007,34,Above
1131.007,39,Above
1131.007,44,Above
1131.007,59,Below
1131.007,64,Below
1131.007,101,Below
1131.007,119,Above
1131.007,124,Above
1131.007,129,Above
1141.008,27,Below
1141.008,32,Below
1141.008,37,Below
1141.008,42,Below
1141.008,47,Below
1141.008,66,Above
1141.008,102,Above
1141.008,107,Above
1141.008,118,Below
1141.008,123,Below
1151.008,39,Below
1151.008,44,Below
1151.008,49,Below
1151.008,63,Below
1151.008,68,Below
1151.008,73,Below
1151.008,78,Below
1151.008,90,Above
1151.008,95,Above
1151.008,100,Above
1151.008,105,Above
1151.008,110,Above
1161.009,21,Above
1161.009,27,Above
1161.009,32,Above
1161.009,52,Below
