Member,Values,Condition
1001.001,74,Above
1031.002,31,Below
1031.002,124,Above
1091.005,21,Below
1101.006,124,Above
1131.007,36,Above
1191.010,84,Above
1231.003,80,Below
1231.003,131,Above
1231.004,61,Above
1231.004,81,Below
1231.009,86,Above
1231.010,144,Below
1231.011,26,Below
1231.011,64,Above
1231.014,102,Below
1231.014,123,Above
1231.017,58,Above
1231.017,136,Below
1231.018,100,Below
1251.002,47,Above
1251.012,20,Below
1251.012,103,Above
1251.012,124,Below
1251.016,51,Below
1251.017,53,Above
1251.017,132,Below
1251.019,117,Below
1281.001,107,Below
1281.002,87,Below
1281.003,103,Below
1281.003,127,Above
1281.004,43,Above
1281.007,115,Below
1281.009,39,Above
1281.010,32,Above
1281.011,92,Above
1281.016,60,Below
1281.016,91,Above
1281.018,52,Below
1281.020,76,Above
1301.001,58,Above
1301.004,60,Below
1301.004,85,Above
1301.007,123,Above
1301.011,40,Above
1301.012,20,Above
1301.015,27,Above
1301.019,122,Above
